x,y,z
-0.08,-0.07,0.84
0.09,0.02,0.90
0.04,-0.13,0.94
0.04,-0.04,0.87
0.02,-0.01,0.86
0.00,0.07,0.79
0.15,0.00,0.93
-0.08,-0.05,0.84
0.07,-0.04,0.99
0.07,-0.06,0.83
0.07,0.05,0.95
0.07,0.00,0.88
-0.06,0.04,0.93
0.07,0.01,0.89
0.09,-0.07,0.74
0.05,-0.00,0.96
0.00,0.01,0.90
0.12,0.04,0.90
0.07,-0.07,0.84
-0.01,0.00,0.80
-0.02,0.02,1.00
0.02,-0.07,0.84
0.03,0.01,0.90
0.03,-0.11,0.95
0.04,0.01,0.93
0.01,0.05,0.96
0.07,-0.08,0.85
-0.02,0.12,0.91
0.06,0.06,0.89
0.04,0.04,0.94
0.05,0.01,0.86
0.04,-0.01,0.83
0.07,-0.02,0.94
0.05,-0.09,0.93
-0.02,-0.05,0.93
-0.20,-0.06,0.98
-0.09,-0.13,0.91
-0.08,-0.08,0.90
-0.15,-0.02,0.96
-0.00,0.00,0.85
-0.07,-0.06,0.90
0.02,-0.07,0.92
-0.11,0.05,1.20
-0.10,0.04,0.71
0.12,0.02,0.79
0.20,0.05,0.74
0.00,-0.02,1.09
0.06,0.01,1.12
0.14,0.00,0.85
0.15,0.04,0.90
0.25,0.07,0.91
0.23,-0.02,0.91
0.09,0.02,0.88
0.21,-0.05,0.81
0.15,-0.02,1.04
0.32,0.07,0.83
0.24,-0.01,0.89
0.16,-0.02,0.95
0.07,-0.08,0.75
-0.05,-0.01,0.89
